N.,Denominaci�n,Departamento,Provincia,Distrito,�rea
1,"""Caritas de la Prelatura de Moyobamba""",San Martin,San Martin,Moyobamba,ambiente / inclusión social / justicia
2,"""ONG - Asociación Civil Virgen de la Medalla Milagrosa""",San Martin,San Martin,Nueva Cajamarca,agropecuario / ambiente / educación / género
3,Abba International,San Martin,San Martin,Tarapoto,género
4,Accion Andina O.N.G.D.,Ayacucho,Ayacucho,Ayacucho,ambiente / educación / género / inclusión social
5,Acción Cristiana Integral para el Desarrollo,Huanuco,Huanuco,Rupa-Rupa,educación / género / salud
6,Accion Humanitaria sin Fronteras,Lima,Lima,Los Olivos,educación / salud / vivienda y saneamiento
7,Acción para el Desarrollo del Niño y la Mujer,Lima,Lima,La Victoria,educación / género
8,Acción para la Gestión y el Desarrollo Rural Sostenible de Perú,Lima,Lima,Jesus Maria,agropecuario / comercio y turismo
9,Acción por Los Niños,Lima,Lima,Magdalena del Mar,educación / género / gobernabilidad / salud
10,Acción Social e Integración,Lima,Lima,San Juan de Miraflores,educación / género / salud
11,Acción Social por la Niñez y Poblaciones Vulnerables,Huanuco,Huanuco,Huánuco,educación / gobernabilidad
12,Acción Social y Desarrollo,Arequipa,Arequipa,Alto Selva Alegre,agropecuario / economía / educación / género / inclusión social / producción / salud / vivienda y saneamiento
13,Acción y Desarrollo,Lima,Lima,San Juan de Lurigancho,género / gobernabilidad
14,Acciona Microenergia Perú,Cajamarca,Cajamarca,Cajamarca,energía/extractiva
15,Agencia Adventista para el Desarrollo y Recursos Asistenciales - Perú,Lima,Lima,Miraflores,educación / género / gobernabilidad / inclusión social / salud
16,Agencia de Servicios Estratégicos para el Desarrollo Urbano Regional,Lima,Lima,Miraflores,gobernabilidad
17,Agencia Internacional de Cooperación y Desarrollo,Lima,Lima,Miraflores,ambiente / género
18,Agencia Tecnológica de Desarrollo Integral Productivo,La Libertad,La Libertad,Trujillo,agropecuario / ambiente
19,Agro Industria,Lambayeque,Lambayeque,Chiclayo,agropecuario / ciencia y tecnología
20,Agrosalud de Ucayali,Ucayali,Ucayali,Calleria,agropecuario / ambiente / género / salud
21,"Agrupación de Limitados Físicos de San Juan de Dios, Ortopedia y Biomecánica en General",Lima,Lima,Villa El Salvador,salud
22,Agua y Saneamiento para Perú,Lima,Lima,La Molina,vivienda y saneamiento
23,Akuy Akuku,Lima,Lima,Magdalena del Mar,educación
24,Alba - Turismo Sustentable,Lima,Lima,San Isidro,ambiente / género
25,Albergue de la Iglesia Santo Monte de Jehova,Junin,Junin,San Agustin,género
26,Aldeas Infantiles SOS Perú - Asociación Nacional,Lima,Lima,San Isidro,género
27,Allpanchis,Lima,Lima,San Isidro,ambiente
28,Alma Capac,Lima,Lima,Lima,género / trabajo
29,Alternativa Centro de Investigación Social y Educación Popular,Lima,Lima,San Martin de Porres,producción / salud / trabajo / vivienda y saneamiento
30,Alternativas Sociales de Desarrollo - Perú,Lima,Lima,Pueblo Libre,género / salud
31,AMA - Asociación Indígena del Perú,Junin,Junin,El Tambo,inclusión social
32,Amantani Ccorca,Cusco,Cusco,Cusco,educación / género / salud
33,Amas al Perú,La Libertad,La Libertad,Trujillo,educación / género
34,Amazon Forever,Loreto,Loreto,Belen,ambiente / educación
35,Amazónicos por la Amazonia,San Martin,San Martin,Moyobamba,gobernabilidad
