pais,desarrollo humano,igualdad de ingreso,canasta basica de CEPAL,canasta basica de cada pais,pobreza monetaria,pobreza multidimensional,pobreza extrema: canasta alimentaria CEPAL,pobreza extrema: canasta alimentaria de cada pais,pobreza extrema: pobreza monetaria
 Argentina,"0,845","42,9","27,2","35,5",14,—,"4,2","8,0","1,5"
 Bolivia,"0,718","41,6","31,1","37,2",20,"20,4","12,1","12,9","3,2"
 Brasil,"0,765","53,4","19,2","24,7",20,"3,8","5,5","6,5","4,6"
 Chile,"0,851","44,4","10,7","8,6",4,—,"1,4","2,3","0,3"
 Colombia,"0,767","51,3","31,7","35,7",29,"4,8","12,8","9,6","4,9"
 Costa Rica,"0,810","48,2","16,5","21,0",11,—,"3,4","5,8","1,0"
 Cuba,"0,783",—,—,—,—,"0,4",—,—,—
 Ecuador,"0,759","45,7","25,7","25,0",25,"4,6","7,6","8,9","3,6"
 El Salvador,"0,673","38,8","30,4","22,8",22,"7,9","5,6","4,5","1,3"
 Guatemala,"0,663","48,3",—,"59,3",49,"28,9",—,"23,4","8,8"
 Haití,"0,510","41,1",—,—,79,"41,3",—,—,"24,5"
 Honduras,"0,634","48,2","52,3","59,3",49,"19,3","20,0","36,7","14,8"
 México,"0,779","45,4","41,5","48,8",23,"6,6","10,6","16,8","1,7"
 Nicaragua,"0,660","45,4",—,"29,6",35,"16,3",—,"8,3","3,4"
 Panamá,"0,815","49,8","14,6","20,7",12,—,"6,6","9,8","1,2"
 Paraguay,"0,728","45,7","19,4","23,5",15,"4,5","6,2","4,0","0,9"
 Perú,"0,777","41,5","15,4","20,2",21,"7,4","3,0","2,9","2,2"
R. Dominicana,"0,756","41,9","20,3","21,0",12,"8,8","4,3","2,7","0,6"
 Uruguay,"0,817","39,7","3,0","8,8",3,—,"0,1","0,1","0,1"
 Venezuela,"0,711","44,8",—,"32,6",33,—,—,"9,5","6,7"
